Ticker,Campaign_Date
APVO,2025-11-18
APVO,2025-12-04
APVO,2025-02-17
BFRG,2022-02-05
BFRG,2022-07-23
BFRG,2022-04-10
BIAF,2023-02-21
BIAF,2023-04-01
BIAF,2023-05-16
BIAF,2023-06-27
BIAF,2023-07-22
BIAF,2023-09-12
BIAF,2023-12-11
BIVI,2022-06-17
BIVI,2022-10-21
BIVI,2022-05-01
CELZ,2025-10-08
CELZ,2025-01-27
CLDI,2024-04-03
CLDI,2024-05-28
CLDI,2024-07-07
CLDI,2024-08-05
CLDI,2024-10-16
CLDI,2024-03-04
CLDI,2024-07-01
ENLV,2024-09-11
ENLV,2024-10-14
ENLV,2024-12-04
ENLV,2024-02-26
ENLV,2024-08-19
FBLG,2025-08-26
FBLG,2025-10-30
FBLG,2025-01-30
FBLG,2025-04-14
FMST,2025-05-12
GP,2024-09-09
GP,2024-11-26
LTRN,2025-02-26
MLSS,2024-11-19
MMA,2024-05-13
NXL,2024-04-01
NXL,2024-06-17
NXL,2024-10-16
NXL,2024-02-03
SXTP,2023-05-20
SXTP,2023-07-28
TRIB,2024-06-03
TRIB,2024-07-09
TRIB,2024-10-01
TRIB,2024-11-06
TRIB,2024-04-16
TRIB,2024-08-01
VMAR,2024-10-31
VMAR,2024-12-06
VMAR,2024-06-25
